GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,MASS_P50,HIMASS_LIM,WARNING,index,mpa_z,model_u,model_g,model_r,model_i,model_z,ext_u,ext_g,ext_r,ext_i,ext_z
46894,10040,J154843.89+175145.8,2167,53889,25,17.862726,0.02864,10.565,8.77,0,757280,0.02865164,16.9664,15.4061,14.6292,14.2093,13.8916,0.2068,0.1521,0.1103,0.0837,0.0593
25681,252680,J154847.04+093126.6,1726,53137,331,9.524064,0.04017,10.509,8.71,0,596126,0.04018098,16.9803,15.7209,15.0782,14.7235,14.4206,0.2531,0.1862,0.1351,0.1024,0.0726
47151,727306,J154851.87+240808.5,2169,53556,536,24.135696,0.03206,10.098,8.5,0,758658,0.032061882,17.6357,16.4678,15.814,15.441,15.151,0.2536,0.1866,0.1353,0.1026,0.0728
20990,252235,J154857.72+284423.1,1390,53142,227,28.739763,0.03273,10.461,8.66,0,471684,0.032745015,17.4767,15.8889,15.143,14.7233,14.4153,0.1552,0.1142,0.0828,0.0628,0.0445
47221,251726,J154902.67+175625.5,2170,53875,358,17.940435,0.03178,10.536,8.74,0,759009,0.03180646,16.9946,15.4732,14.7395,14.3593,14.0394,0.2085,0.1534,0.1112,0.0844,0.0598
1534,253877,J154902.86+001535.3,342,51691,501,0.25981,0.03458,10.109,8.5,0,38890,0.03458255,19.284,17.4664,16.5527,16.0774,15.7121,0.3893,0.2865,0.2078,0.1575,0.1117
47212,720172,J154903.04+183919.1,2170,53875,339,18.655317,0.04649,10.271,8.5,0,758995,0.04650853,19.3405,17.3802,16.5207,16.108,15.7674,0.1839,0.1353,0.0981,0.0744,0.0528
21011,251264,J154903.46+292127.5,1390,53142,477,29.357645,0.03279,10.224,8.5,0,471868,0.03278987,17.6661,16.1208,15.4551,15.0899,14.7565,0.1695,0.1247,0.0904,0.0686,0.0486
42387,727307,J154903.62+251927.5,1850,53786,410,25.32431,0.03331,10.832,9.03,0,655142,0.033318777,17.9629,15.9182,14.9283,14.4238,14.0105,0.3093,0.2276,0.1651,0.1252,0.0887
10687,253564,J154903.96+023142.0,594,52045,66,2.528356,0.04183,10.467,8.67,0,161402,0.04183638,17.7721,16.2002,15.4535,15.053,14.7313,0.5327,0.392,0.2843,0.2156,0.1528
25700,252682,J154906.61+090121.8,1726,53137,435,9.02274,0.04112,10.134,8.5,0,596192,0.041117232,18.5619,16.9953,16.2588,15.8614,15.5837,0.215,0.1582,0.1147,0.087,0.0617
47355,720175,J154911.57+214104.9,2171,53557,303,21.684702,0.03494,10.797,9,0,759482,0.03493816,17.4486,15.4751,14.646,14.2251,13.8947,0.2452,0.1804,0.1309,0.0992,0.0704
42388,727308,J154912.55+250312.9,1850,53786,415,25.053595,0.04033,10.83,9.03,0,655146,0.04031279,18.0751,16.0906,15.1532,14.6846,14.3089,0.2733,0.2011,0.1458,0.1106,0.0784
21599,255043,J154913.05+310608.7,1580,53145,95,31.102423,0.03144,10.116,8.5,0,530903,0.03145197,18.1386,16.4063,15.6418,15.2868,14.9938,0.164,0.1206,0.0875,0.0663,0.047
10730,253415,J154914.28+033641.9,594,52045,635,3.611649,0.04021,10.074,8.5,0,161767,0.04022495,18.6484,17.6091,16.9374,16.4759,16.1232,0.5268,0.3876,0.2811,0.2132,0.1511
47215,252172,J154916.13+174858.4,2170,53875,347,17.816244,0.04925,10.96,9.16,0,759000,0.049275402,17.2412,15.421,14.6938,14.277,13.9764,0.2125,0.1563,0.1134,0.086,0.061
25666,252729,J154918.51+085100.3,1726,53137,198,8.850106,0.04164,10.354,8.55,0,596029,0.041632634,17.8787,16.1947,15.4631,15.1249,14.8576,0.2011,0.148,0.1073,0.0814,0.0577
1538,10045,J154919.28+001057.5,342,51691,541,0.182651,0.03135,11.036,9.24,0,38916,0.03134727,17.3053,15.209,14.2389,13.7406,13.3805,0.3745,0.2756,0.1999,0.1516,0.1075
27715,255047,J154925.22+332720.5,1403,53227,130,33.45572,0.04921,10.83,9.03,0,477534,0.04917884,18.7747,16.8149,15.8471,15.3527,14.9031,0.1552,0.1142,0.0828,0.0628,0.0445
47066,251267,J154928.18+210202.8,2168,53886,612,21.03412,0.03127,10.718,8.92,0,758231,0.031268638,16.3778,14.8585,14.1261,13.755,13.4591,0.23,0.1693,0.1228,0.0931,0.066
47205,252624,J154934.65+174338.9,2170,53875,277,17.727495,0.03048,10.083,8.5,0,758953,0.030416302,18.5823,16.9794,16.199,15.729,15.376,0.2162,0.1591,0.1154,0.0875,0.062
1544,253883,J154935.78+002536.8,342,51691,552,0.426891,0.03343,10.153,8.5,0,38924,0.033416733,18.7295,16.9076,16.0314,15.6241,15.3149,0.3859,0.284,0.2059,0.1562,0.1107
