GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,z,MASS_P50,HIMASS_LIM
5083,204662,J100855.36+014421.0,502,51957,277,152.2307,1.739192,0.0452,11.086,9.29
55895,201883,J100856.22+181847.3,2372,53768,56,152.23427,18.313145,0.03459,10.038,8.5
33861,206132,J100856.86+345645.4,1951,53389,155,152.23692,34.945965,0.0372,10.394,8.59
26253,200115,J100857.29+113825.0,1745,53061,284,152.23872,11.640292,0.02827,10.674,8.87
18734,203256,J100904.39+081229.0,1236,52751,22,152.26833,8.208056,0.04595,10.453,8.65
53781,718382,J100906.33+230943.5,2343,53735,172,152.27641,23.162085,0.04508,10.009,8.5
5096,204264,J100910.68+030457.3,502,51957,370,152.29451,3.082594,0.04519,10.64,8.84
55896,718383,J100911.15+182743.1,2372,53768,58,152.2965,18.461979,0.03456,10.56,8.76
55944,718386,J100912.59+182720.9,2373,53768,242,152.30249,18.455809,0.03515,10.259,8.5
54096,721948,J100915.61+265628.9,2347,53757,403,152.31506,26.941378,0.0484,10.974,9.17
55894,718387,J100917.16+182618.1,2372,53768,52,152.3215,18.438362,0.03514,10.169,8.5
55947,718388,J100917.89+182420.3,2373,53768,258,152.32455,18.405657,0.03424,10.038,8.5
26252,200119,J100918.41+123615.1,1745,53061,266,152.32674,12.604195,0.03066,10.497,8.7
33856,206140,J100921.30+345730.2,1951,53389,141,152.33878,34.958412,0.03829,10.466,8.67
54082,721950,J100925.15+255926.4,2347,53757,176,152.3548,25.990686,0.04786,10.328,8.53
18817,203430,J100934.06+073525.4,1237,52762,284,152.39194,7.590409,0.0456,10.433,8.63
55946,718392,J100937.64+182604.4,2373,53768,257,152.40686,18.43456,0.03398,10.322,8.52
20561,200125,J100938.12+110000.8,1308,53053,623,152.40884,11.000239,0.02812,10.736,8.94
54101,721953,J100939.02+271810.1,2347,53757,458,152.41261,27.302814,0.03879,10.514,8.71
20495,202312,J100941.41+103240.5,1308,53053,40,152.42255,10.544609,0.03402,10.03,8.5
5082,204664,J100946.35+010945.6,502,51957,219,152.44313,1.162678,0.04532,10.28,8.5
8622,204265,J100951.20+033250.4,574,52355,291,152.46338,3.547344,0.03205,10.509,8.71
53779,718398,J100951.75+231419.1,2343,53735,157,152.46564,23.238655,0.04299,10.725,8.93
5077,715619,J100953.96+011316.7,502,51957,205,152.47487,1.221325,0.04464,10.124,8.5
53759,718402,J101000.00+224702.3,2343,53735,56,152.50005,22.783976,0.04458,10.413,8.61
26246,200128,J101000.25+115459.6,1745,53061,206,152.50105,11.916561,0.02814,10.457,8.66
5076,204667,J101001.90+011157.0,502,51957,204,152.50795,1.199189,0.04438,10.256,8.5
5078,204668,J101005.64+011315.2,502,51957,206,152.52353,1.220898,0.04488,10.304,8.5
53827,721955,J101008.21+241200.9,2343,53735,547,152.53423,24.20026,0.04674,10.311,8.51
